# lon; lat; id; type

1.49129;42.46372;3039163;2
1.53319;42.55623;3039678;2
1.53414;42.50729;3040051;1
1.51483;42.54499;3040132;1
1.5767;42.53451;3040686;1
1.59556;42.5669;3041204;3
1.52109;42.50779;3041563;2
55.55517;25.56473;290594;1
55.9432;25.78953;291074;1
53.7881;23.14355;291279;3
56.34199;25.33132;291696;2
55.30472;25.25817;292223;3
56.27291;25.61955;292239;1
55.4033;25.35731;292672;1
52.73056;24.11028;292688;2
56.34141;25.11641;292878;1
55.76056;24.19167;292913;3
55.43504;25.41111;292932;2
55.88157;25.28812;292953;1
54.36667;24.46667;292968;3
61.19778;34.65389;1120483;1
66.42132;35.94831;1120487;3
61.74675;34.34264;1120711;2
68.44573;32.84734;1120863;2
68.79167;33.14667;1120879;3
61.88333;30.96667;1120985;3
69.61131;37.46572;1121271;2
61.26895;34.59431;1122408;2
65.87331;32.62675;1122747;3
69.53451;36.73605;1123004;2
66.06164;35.69941;1123343;3
69.64917;34.85501;1123424;3
62.1474;33.30294;1125155;1
65.7529;36.66757;1125444;2
64.3052;34.10738;1125896;1
65.93249;36.21544;1127110;3
64.8359;32.07275;1127547;3
66.43694;35.84972;1127628;3
68.01551;36.26468;1127768;2
62.6;30.15;1128239;1
69.83045;37.12604;1128265;2
66.04358;37.41853;1129516;3
66.78891;37.03999;1129636;2
68.78041;37.22019;1129648;2
61.77589;34.94023;1129678;1
63.12891;34.98735;1129867;1
65.5676;35.54729;1130065;1
66.90833;32.10575;1130131;2
70.92214;35.4207;1130469;1
68.71512;35.94458;1130490;3
69.02274;33.99529;1130497;3
67.02327;34.38795;1131162;2
68.95333;34.5875;1131316;1
66.63253;32.92775;1131462;2
66.13023;33.72178;1131833;1
69.13343;36.0649;1132495;2
69.11899;34.74999;1133270;3
61.8383;30.43624;1133310;2
64.78361;35.92139;1133453;1
70.20944;34.67139;1133574;1
67.11087;36.70904;1133616;1
64.37161;31.59382;1134720;1
66.66409;35.48936;1134762;2
61.95221;33.29565;1135158;3
68.857;36.72896;1135689;3
69.92041;33.33951;1136469;2
67.69826;36.69736;1136575;2
62.79055;31.52919;1136863;2
72.318;36.95127;1137148;3
69.11556;36.6825;1137168;2
62.5863;34.48108;1137807;1
65.71013;31.61332;1138336;3
69.17233;34.52813;1138958;3
70.83421;36.86477;1139085;1
70.45153;34.42647;1139715;2
69.23778;35.11833;1139807;1
62.19967;34.34817;1140026;2
63.78264;35.73062;1141089;1
68.42689;33.55356;1141269;2
64.57005;31.82089;1141540;2
69.22592;33.59744;1141857;2
70.58002;37.11664;1142170;1
69.85783;36.57288;1142239;1
62.11638;32.37451;1142264;1
61.06667;34.66667;1142404;2
68.93644;37.18897;1142545;2
69.16667;37.13333;1143838;3
65.37828;35.97744;1143874;2
64.1934;31.13232;1143901;2
65.98234;35.41674;1144942;2
69.17139;35.01361;1145352;1
62.19165;34.24475;1145866;1
65.25094;34.51952;1145904;2
70.87218;34.24749;1146822;2
68.94861;33.9675;1147066;3
67.82167;34.82417;1147242;1
66.8972;36.75635;1147290;2
68.70829;36.13068;1147540;2
69.64573;34.17355;1147851;2
69.47958;37.08571;1148106;2
71.35809;35.03333;1148205;3
71.53333;36.68333;1148268;3
71.14697;34.87311;1148311;2
65.12376;36.95293;1148658;3
61.65397;32.7587;1148709;2
63.31298;30.43741;1149052;1
69.51519;35.31292;1429434;2
